,searchTerm,slug,label,title
80,amo color synthesis,color-generation-and-processing,RELEVANT,Color Generation and Processing
81,contemporary black living room set,gray-living-room-ideas,RELEVANT,Gray Living Room Ideas
82,rocker red ottoman,how-to-get-red-wine-out of-carpet,NOT RELEVANT,How to Get Red Wine Out of Carpet
83,34 in. x 71 in. alcove shower door,best-shower-kits-for-your-bathroom,RELEVANT,Best Shower Kits for Your Bathroom
84,behr pro 5 gal i300 paint,types-of-paint-finishes,RELEVANT,Types of Paint Finishes 
85,mastercool whole house evaporative cooler,evaporative-cooler-installation,RELEVANT,Evaporative Cooler Installation
86,fireplace tile,best-fireplace-accessories-for-your-home,RELEVANT,Best Fireplace Accessories for Your Home
87,tracoland gravel,constructing-a-diy-turntable-lift,NOT RELEVANT,Creating a DIY Turntable Lift
88,6-light 30 in. pendant,types-of-led-lights,NOT RELEVANT,Types of LED Lights
89,chestnut chesapeake wallpaper samples,how-to-hang-a-wallpaper-border,RELEVANT,How To Hang a Wallpaper Border
90,2x6 joist hangers,how-to-build-a-deck,RELEVANT,How to Build a Deck
91,pfister 4 in. faucet,how-to-replace-a-bathroom-faucet,RELEVANT,How to Replace a Bathroom Faucet
92,hovapact elbow,how-to-crimp-connectors,RELEVANT,How to Crimp Connectors
93,reversible multi-colored shatex comforter,day-of-the-dead-halloween-porch,NOT RELEVANT,Day of the Dead Hallowened Porch
94,furnace filter 20x25x1,how-to-clean-an-air-conditioner-filter,RELEVANT,How to clean an air conditioner filter
95,palm tree food,how-to-build-a-flower-tower,NOT RELEVANT,How to Build a Flower Tower
96,2 ft. x 4 ft. floor mats,how-to-use-a-fiber-mat,RELEVANT,How to Use a Fiber Mat
97,19 in. x 20 in. aspen creations porcelain nail trimmer,how-to-cut-curved-objects-with-a-rinse-tool,NOT RELEVANT,How to Cut Curved Objects With a Rinse Tool
98,84 in. x 90 in. taupe blanketing,creating-a-timeless-laundry-space,NOT RELEVANT,Creating a Timeless Laundry Space
99,31.25 in. x 35.25 in. ply gem singlehung window,different-types-of-windows-for-your-home,RELEVANT,Different Types of Windows for Your Home
100,panel doors, types-of-interior-doors,RELEVANT,Types of Interior Doors
101,chamois mahogany wood flooring,best-wood-floors-for-your-home,RELEVANT,Best Wood Floor Options for Your Home
102,spray foam insulation kit,how-to-insulate-garage-door,RELEVANT,How to Insulate Garage Door
103,home decorators collection 38 in. vanity,best-bathroom-vanities-for-your-home,RELEVANT,Best Bathroom Vanities for Your Home
104,pine board,how-to-make-a-planter,RELEVANT,How to Make a Planter
105,stark 15.5 in. x bathroom vanities with top,best-bathroom-vanities-for-your-home,RELEVANT,Best Bathroom Vanities for Your Home
106,garden water can,best-garden-hoses-for-Your-Garden,NOT RELEVANT,Best Garden Hoses for Your Garden
107,aquatic bathroom vanities with top,how-to-install-a-bathroom-vanity,RELEVANT,How to Install a Bathroom Vanity 
108,60 x 60 tiles,how-to-grout-tiles,RELEVANT,How to Grout Tiles
109,eurofase 12-light chandelier,best-chrome-buildup-remover-for-your-homes,NOT RELEVANT,Best Chrome Buildup Remover for Your Homes
110,gear up workbench,workshop-ideas,RELEVANT,Workshop Ideas
111,hooks hook,garage-storage-ideas,RELEVANT,Garage Storage Ideas
112,glidden premium 8 oz #hdgy-36 yoke,bedroom-refresh-ikea-hedonism-clutterbusters,NOT RELEVANT,Bedroom Refresh IKEA Hedonism Clutterbusters
113,ll1c14x04200wh,six-steps-to-setting-a-good-tableware-price,NOT RELEVANT,Six Steps to Setting a Good Tableware Price
114,5 gal #ppu15-17 paint,best-exterior-paint-for-your-home,RELEVANT,Best Exterior Paint for Your Home
115,silverado bed rugged flares,five-nine-two-fourteen-history,NOT RELEVANT,Five Nine Twenty Four History
116,direct wicker outdoor benches,screen-in-front-doors,NOT RELEVANT,Screen In Front Doors
117,amaryllo wired security camera,diy-wireless-security-cameras-guide,RELEVANT,DIY Wireless Security Cameras Guide
118,modway drop in bathroom sink,how-to-install-an-undermount-sink-,RELEVANT,How To Install an Undermount Sink 
119,polyethylene sheet,how-to-build-a-greenhouse,RELEVANT,How to Build a Greenhouse
120,46 in. x 72 in. glossy doily door,how-to-install-bifold-doors,NOT RELEVANT,How to Install Bifold Doors
121,15 ft. x 32 ft. astro turf whbrowns kitchen,how-to-build-a-dog-playground,NOT RELEVANT,How to Build a Dog Playground
122,jlj8nv rg xxl,how-to-solder-copper-pipes,NOT RELEVANT,How To Solder Copper Pipes
123,veranda landscape lighting transformer,front-yard-landscaping-ideas,RELEVANT,Front Yard Landscaping Ideas
124,feit electric recessed,types-of-led-lights,RELEVANT,Types of LED Lights
125,1 gal #hdppgg32 paint with primer,best-paint-roller-for-your-projects,RELEVANT,Best Paint Rollers For Your Projects
126,mastercraft metal rods,how-to-diy-home-security-systems,NOT RELEVANT,How to DIY Home Security Systems
127,30 in. X 72 in. akdy manufacturing bathroom vanities with top,how-to-install-a-bathroom-vanity,RELEVANT,How to Install a Bathroom Vanity 
128,behr pro 5 gal i300 paint,best-interior-paints,RELEVANT,Best Interior Paints for Every Room
129,allspace storage tote,garage-storage-ideas,RELEVANT,Garage Storage Ideas
130,magnet bin,closet-organization-ideas,RELEVANT,Closet Organization Ideas
131,resettable circuit breaker outlet adapters, how-to-wire-a-circuit-breaker,RELEVANT,How to Wire a Circuit Breaker
132,bhg29 in. vanity in white,bathroom-vanity-ideas,RELEVANT,Bathroom Vanity Ideas
133,qep joint tape,how-to-tape-drywall,RELEVANT,How to Tape Drywall
134,blue hall bells bell,how-to-make-a-hall-bell,RELEVANT,How to Make a Hall Bell
135,truporte bifold door,how-to-install-bifold-door,RELEVANT,How to Install a Bifold Door
136,industrial pipe fitting,pipe-fitting-tips,RELEVANT,
137,shower grout sealer,how-to-grout-tile,RELEVANT,How to Grout Tile
138,13x13 in. glaze,how-to-sponge-paint,RELEVANT,How to Sponge Paint
139,big christmas lights,christmas-lights-infographic,RELEVANT,Christmas Light Infographics
140,amenca moulding,types-of-moulding,RELEVANT,Types of Moulding
141,reusable sanding sponge,types-of-sandpaper-and-abrasives,RELEVANT,Types of Sandpaper and Abrasives
142,expedit workbench,create-your-own-office-inspiration-space,NOT RELEVANT,Create Your Own Office Inspiration Space
143,kohler 2-piece 1.28 toothpin,how-to-replace-a-power-cord-plug,NOT RELEVANT,How to Replace a Power Cord Plug
144,stair parts newel,how-to-build-a-staircase,RELEVANT, How to Build a Staircase
145,hampton bay aluminum mini blind,how-to-install-blinds-or-shades,RELEVANT,How to Install Blinds or Shads
146,titan tooltip,best-drill-bits-for-your-project,RELEVANT,Best Drill Bits for Your Project
147,thomas lighting enclosed with baffle,light-bulb-brightness,RELEVANT,Light Bulb Brightness
148,becky cameron ruffle,how-to-put-on-a-duvet-cover,NOT RELEVANT,How to Put on a Duvet Cover
149,panache papish guest paper,how-to-throw-a-guest-bedday,NOT RELEVANT,How to Throw a Guest BedDay
150,31 in. 22 in. vanity in chocolate,stylish-bathroom-ideas-with-tub,NOT RELEVANT,Stylesy Bathroom Ideas With Tub
151,digipace data center furnace sensor,data-center-network-DiY,RELEVANT,Data Center Network (DIY)
152,milwaukee wrench set,how-to-use-a-ratcheting-wrench,RELEVANT,How to Use a Ratcheting Wrench
153,silencers after midnight bar niller,lincoln-library-book-signing-by-author-tim-macro,NOT RELEVANT,Lincoln Library Book Signing by Author Tim MacDonald
154,hooks hook,garage-storage- ideas,RELEVANT,Garage Storage Ideas
155,glidden premium 5 qt ppg1146-2 paint,painting-tips-and-tricks,RELEVANT,Painting Tips and Tricks
156,basil,cookbook-game-from-scrubs-cuisine-with-minted-linallo-tabletop,NOT RELEVANT,Cookbook Game from Scrubs Cuisine with Minted Lined Tabletop
157,10x16 marazzi metal tile,bathroom-tile-ideas,NOT RELEVANT,Bathroom Tile Ideas
158,mount inside counters,how-to-get-rid-of-pests-inside-the-house,NOT RELEVANT,How to Get Rid of Pests Inside the House
159,t3 t4 t6 t8 led,types-of-led-lights,RELEVANT,Types of LED Lights
160,bayberry bar stool,how-to-measured-stools,RELEVANT,How to Make a Measurement-Width Bar Stool
161,e150mw 06x10,how-to-charge-a-car-battery,NOT RELEVANT, How to Charge a Car Battery
162,tk42 part,types-of-fittings-for-gas-and-water-pipes,RELEVANT,Types of Fittings for Gas and Water Pipes
163,home basics craft storage,garage-storage-ideas,NOT RELEVANT,Garage Storage Ideas
164,led vanity light,light-bulb-brightness,RELEVANT,Light Bulb Brightness
165,prelit forest pineanger flocked,choose-the-best-hardwood-flooring,RELEVANT,Choose The Best Hardware Flooring
166,4 in. x 48 in. black matte grilles,creating-a-timeless-laundry-space,NOT RELEVANT,Creating a Timeless Laundry Space
167,becky cameron ruffle,how-to-put-on-a-duvet-cover,NOT RELEVANT,How to Put on a Duvet Cover
168,lilac cloth napkins,how-to-fold-napkins-creatively,RELEVANT,How to Fold Napkins Creatively
169,behr pro 5 gal i300 paint,best-interior-paints,RELEVANT,Best Interior Paint for Every Room
170, мышца бронзella,stylish-bathroom-ideas-with-tile,NOT RELEVANT,Stylish Bathroom Ideas With Tile
171,composite exterior doors,types-of-exterior-doors,RELEVANT,Types of Exterior Doors
172,sprinkler valve,irrigation-diagram-generator,RELEVANT,Irrigation Diagram Generator
173,feit electric recessed,types-of-led-lights,RELEVANT,Types of LED Lights
174,access lighting 9 in. 2-watt led,led-vs-fluorescent,RELEVANT,LED vs Fluorescent
175,garden black rice,how-to-make-a-rice-pudding,NOT RELEVANT,How to Make Rice Pudding
176,roll in white,master-bedroom-ideas-you-can-create-in-your-studio-office-,NOT RELEVANT,Master Bedroom Ideas You Can Create In Your Studio Office
177,amaryllis bulbs,how-to-plant-zones,RELEVANT,How to Plant Zones
178,klein tools electronics,best-electrical-testers-and-meters-for-voltage-diagnosis,RELEVANT,Best Electrical Testers and Meters for Voltage Diagnosis
179,64 gal #hdgc12 zero gas combo with regulator,types-of-gas-and-water-supply-lines,RELEVANT,Types of Gas and Water SupplyLines
180,american standard 3 flowise 2-piece 1.28 toilet,how-to-install-a-toilet,RELEVANT,How To Install a Toilet
181,schon corner shower door,how-to-tile-a-shower-wall,RELEVANT,How to Tile a Shower Wall
182,universal tubs 72 in. right whirlpool tub,3-bathroom-renovations-3-different-styles,RELEVANT,"3 Bathroom Renovations, 3 Different Styles"
183,alfi brand 8 in. bit,best-circular-bit-holders-for-your-cutting-machine,RELEVANT,Best Circular Bit Holders for Your Cutting Machine
184,apc smart key center on key,smart-key-technology-explained,RELEVANT,Smart Key Technology Explained
185,quiet glide 6 ft. horses for bedside tables,create-a-nutcracker-themed-Christmas-dinner,NOT RELEVANT,Create a Nutcracker Themed Christmas Dinner
186,codie via poshing,sparkling-new-year-from-casino-new-Year-at-MGM-Manila,NOT RELEVANT,Sparkling New Year from Casino New Year at MGM Manila
187,chilled gray avanity medicine cabinet,best-medicine- cabinets-for-your-bathroom,RELEVANT,Best Medicine Cabinets For Your Bathroom
188,1 gal #ae-38 paint,how-to-use-a-paint-sprayer-,RELEVANT,
189,hooks hook,garage-storage-ideas,RELEVANT,Garage Storage Ideas
190,gladiator workbench,garage-storage-ideas,RELEVANT,Garage Storage Ideas
191,reusable sanding sponge,types-of-sandpaper-and-abrasives,RELEVANT,Types of Sandpaper and Abrasives
192,kit including blinds,how-to-measure-blindslides,RELEVANT,How to Measure Blind Slides
193,19 in. x 1.6 in. garage storage shelves,garage-storage-ideas,RELEVANT,Garage Storage Ideas
194,corvette c6 trademark bar stool,homemade-bar-builds-from-infant-proofing-donuts,NOT RELEVANT,Homemade Bar Builds From Infant-Proofing Donuts
195,telescoping pressure washer extension wand,pressure-washing-tips-and-ideas,RELEVANT,Pressure Washing Tips and Ideas
196,hampton bay bath America 72 in. seasonal,how-to-decorate-for-christmas,RELEVANT,How to Decorate for Christmas
197,direct brand fire safety lanyard,fire-safe- practices-when-working-on-structures,RELEVANT,Fire-Safe Practices When Working on Structures
198,jacee portable chargers,charged-up-tipster-mobile-templater,NOT RELEVANT,Charged Up! Tipster Mobile Templater
199,2-panel screen with doors,how-to-build-a-floating-deck,RELEVANT,How to Build a Floating Deck
200,16 in. x 30 in. lagoon bath mat,creating-a-timeless-laundry-space,NOT RELEVANT,Creating a Timeless Laundry Space
201,dewalt jump with compressor,best-air-compressors-for-your-project,RELEVANT,Best Air Compressors for Your Project
202,hand tap,types-of-taps,RELEVANT,Types of Taps
203,5 gal #hdgyg18 paint,how-to-paint-trim,RELEVANT,How to Paint Trim
204,ratchet straps,how-to-use-a-ratchet-strap,RELEVANT,How to Use a Ratchet Strap
205,cork handle finishing trowel,4-bathroom-renovations-4-different-styles,NOT RELEVANT,"4 Bathroom Renovations, Four Different Styles"
206,apollo led night light,light-bulb-brightness,RELEVANT,Light Bulb Brightness
207,19 in. x 20 in. aspen creative corporation lamp,types-of-lampshades,RELEVANT,Types of Lampshads
208,allured bed mattress,how-to-pick-the-best-bed-mattresses,RELEVANT,Best Bed Mattresses
209,behr pro 5 gal i300 paint,best-interior-paints,RELEVANT,Best Interior Paints for Every Room
210,weathertech vehicles with side,types-of-car-jacks,NOT RELEVANT,Types of Car Jacks
211,naraado farm cart,modern-country-kitchen-ideas,RELEVANT,Modern Country Kitchen Ideas
212,stark 17 in. glaze,how-to-sponge-paint,RELEVANT,How to Sponge Paint
213,double steel for doors,types-of-interior-doors,RELEVANT,Types of Interior Doors
214,hampton bay aluminum mini blind,how-to-install-blinds-or-shades,RELEVANT,How to Install Blinds or Shades
215,toolpro self drilling bit,how-to-use-a-drill,RELEVANT,How to Use a Drill
216,reusable sanding sponge,types-of-sandpaper-and-abrasives,RELEVANT,Types of Sandpaper and Abrasives
217,door chime,how-to-install-a-Doorbell,RELEVANT,How To Install a Doorbell
218,merola tile nero ceramic tile,brown-tile-vs-white-tile,RELEVANT,Brown Tile vs. White Tile
219,american standard 3 flowise 2-piece 1.28 toilet,how-to-install-a-toilet,RELEVANT,How to Install a Toilet
220,kidde i12063,how-to-install-a-smoke-detector,RELEVANT,How To Install a Smoke Detector
221,contemporary black tv stand, How-To-Pick-The Best-Black-Tv-Stands,RELEVANT,How To Pick The Best Black TV Stands
222,picnic time picnic tables,how-to-build-a-picnic-table,RELEVANT,How to Build a Picnic Table 
223,glidden premium 1 qt ppg1150-4 paint,bedroom-paint-ideas,RELEVANT,Bedroom Paint Ideas
224,over the door spice rack,how-to-paint-a-door-frame,NOT RELEVANT,How to Paint a Door Frame
225,woodland meadow burchwood dining room set,adding-a-touch-of-winter-to-our-dining-room-,RELEVANT,Adding A Touch of Winter To Our Dining Room 
226,zamma fire pit accessories,create-your-own-fire-pit-accessories,RELEVANT,Create Your Own Fire Pit Accessories 
227,2-tone 11x17 stamp,outdoor-patio-decor-ideas,NOT RELEVANT,Outdoor Patio Decor Ideas
228,black stains wood,how-to-clean-wood-trunks,RELEVANT,How to Clean Wood Trunks
229,cold water pressure washer hose,how-to-use-a-pressure-washer,RELEVANT,How to Use a Pressure Washer 
230,nl brown executive office suite,office-chair-tips,NOT RELEVANT,Office Chair Tips
231,ls-series-lamplights,lit-tenants-parking-lot-transformed-into-holiday-hub,NOT RELEVANT,Lit Tenant Parking Lot Transformed into Holiday Hub
232,hooks hook,garage-storage- ideas,RELEVANT,Garage Storage Ideas
233,blue ebony king umpire accent,boy-new-years-eve-party-diy-inn-of-the-mountains-themed-upgrade-from-kit,NOT RELEVANT,Boy New Year's Eve Party Invitation Idea From Inn of the Mountains Themed Upgrade From Kit
234,industrial air 120 gallon compressor,best-air-compressors-for-your-project,RELEVANT,Best Air Compressors for Your Project
235,multi-colored blissful nights mattresses,how-to-pick-the-best-mattress-accessories,RELEVANT,Best Mattress Toppers and Pads for a Restful Sleep
236,1 gal #ppl-32 paint,how-to-prime-a-wall,RELEVANT,How to Prime a Wall
237,beckett landscaping wood storm tank,front-yard-landscape-idea,RELEVANT,Front Yard Landscaping Idea
238,earthmark raised garden bed,DIY-raised-garden-bed,RELEVANT,DIY Raised Garden Bed
239,24 in in. x 24 in. x 17 in. assembled kitchen cabinet,best-kitchen-cabinet-refacing-for-your-home,RELEVANT,Best Kitchen Cabinet Refacing for Your Home
240,19 in. x 40 in. variegated,how-to-build-a-dog-playground,NOT RELEVANT,How to Build a Dog Playground
241,p38536c-cz-cp,how-to-replace-a-power-cord-plug,NOT RELEVANT,How to Replace a Power Cord Plug
242,25 dewalt tape,impact-drivers-vs-drills,NOT RELEVANT,
243,fauce metal profile,types-of-metal-roofing-for-your-household,RELEVANT,Types of Metal Roofing for Your Household
244,home decorators collection 6-light pendant,semi-flush-mount-and-flush-mount-buying-guide-,RELEVANT,
245,led night light,yellow-vs-white-led-lights,RELEVANT,Yellow vs. White LED Lights
246,7 ft. x 5 ft. sports rug,how-to-brighten-up-a-room-with-a-fireplace-makeover,RELEVANT,How to Brighten Up a Room With a Fireplace Makeover
247,hydrohose 2 in. 50 ft. series with nozzle,best-garden-hoses-for-your-yard,RELEVANT,Best Garden Hoses for Your Yard
248,ppg diamond 1 qt ppg1138-4 spruce with primer,how-to-lay-envirotile,NOT RELEVANT,How to Lay Envirotile
249,klein tools electronics,best-electrical-testers-and-meters-for-voltage-diagnosis,RELEVANT,Best Electrical Testers and Meters for Voltage Diagnosis
250,wood plank flooring,types-of-floor-ings,RELEVANT,Types of Floor Ints.
251,ovente electric kettles,best-electric-kettles-for-boiling-water,RELEVANT,Best Electric Kettles for Boiling Water
252,dkd27x0-34892wp,how-to-cut-holiday-letters-from-a-tree,NOT RELEVANT,How To Cut Holiday Letters From A Tree
253,hampton bay bathroom shelves,how-to-install-a-bathroom-vanity,RELEVANT,How to Install a Bathroom Vanity 
254,5 gal #hdgy15 paint,best-exterior-paint-for-your-home,RELEVANT,Best Exterior Paint for Your Home​
255,innoci-usa one piece toilet,how-to-install-a-toilet,RELEVANT,How to Install a Toilet
256,ll1c16x04200wh,6-easy-bathroom-project-ideas-you-can-complete-in-a-weekend,NOT RELEVANT,6 Easy Bathroom Project Ideas You Can Complete in a Weekend
257,veranda landscape lighting transformer,front-yard-landscaping-idea,RELEVANT,Front Yard Landscaping Idea
258,vegevity plant container,create-chemistry-children-science-kit,NOT RELEVANT,Create Chemistry Children's Science Kit
259,washable black chesapeake wallpaper samples,how-to-hang-a-wallpaper-border,RELEVANT,How to Hang a Wallpaper Border
260,msi mineral water Mineralizer,creating-a-timeless-laundry-space,NOT RELEVANT,Creating a Timeless Laundry Space
261,behr 5 gal #or-w05 paint,types-of-paint-finishes,RELEVANT,Types of Paint Finishes 
262,"red gray warm wallpaper hдbbh1xx,hung on canvas wallboard",how-to-install-wallpaper,RELEVANT,How to Install Wallpaper
263,bingo game,fun-game-boxes-for-friendsgiving,NOT RELEVANT,Fun Game Box for Friendsgiving
264,triton table saw,best-miter-saws-for-your-project,RELEVANT,Best Miter Saws for your Project
265,bayport bed,master-bedroom-ideas,RELEVANT,Master Bedroom Ideas
266,stark 10 in. bit,how-to-use-an-ecto-bit,RELEVANT,How to Use an Ecto Bit
267,ambra 90 pack 2 no,back-porch-ideas,NOT RELEVANT,Back Porch Ideas
268,goodearth decor holly berries enhance, create-simple-hockey-card-holders-in-minutes,NOT RELEVANT, Create Simple Hockey Card Holders In Minutes
269,phed nopener,types-of-circuit-breakers,NOT RELEVANT,Types of Circuit Breakers
270,outdoor stair stringer,how-to-build-stairs,RELEVANT,How to Build Stairs
271,spyder auto 00-06 benz,haunted-mine-dragon-lair-scene,NOT RELEVANT,Haunted Mine Dragon Lair Scene
272,ams ceiling fan without lights,how-to-measure- Ceiling-fan-blades,RELEVANT,How to Measure Ceiling Fans Blades
273,decolav countertop mount,countertop-ideas,RELEVANT,Top 11 Creative Countertop Ideas
274,round end trowels,fall-discount-now-save-30-site-wise-shipping-info,NOT RELEVANT,Fall Discount Now Save 30! Site Wise Shipping Info
275,door lock with key,types-of-door-locks,RELEVANT,Types of Door Locks
